outcome_datasets	outcome_trait	num_assoc_loci	outcome_trait_efo	outcome_data_source
FINNGEN_R5_Q17_CONGEN_MALFO_GALLB_BILE_DUCTS_LIVER	Congenital malformations of gallbladder, bile ducts and liver	15	HP_0410042, Orphanet_183548	FinnGEN
FINNGEN_R5_Z21_OTHER_SPECIAL_EXAM_INVES_PERSONS_WO_COMPLA_REPOR_DIAGNOSIS	Other special examinations and investigations of persons without complaint or reported diagnosis	6	EFO_0009517	FinnGEN
NEALE2_1130	Hands-free device/speakerphone use with mobile phone in last 3 month	4	NA	UK Biobank
NEALE2_20084_477	Vitamin b12  | vitamin and/or mineral supplement use	4	NA	UK Biobank
NEALE2_20107_101	None of the above (group 2) | illnesses of father	4	NA	UK Biobank
NEALE2_20110_100	None of the above (group 1) | illnesses of mother	4	NA	UK Biobank
NEALE2_22506_113	Ex-smoker | tobacco smoking	4	NA	UK Biobank
NEALE2_22612_2	Often | worked with materials containing asbestos	4	NA	UK Biobank
NEALE2_2365	Ever had prostate specific antigen (psa) test	4	NA	UK Biobank
NEALE2_4290_raw	Duration screen displayed	4	NA	UK Biobank
NEALE2_5012	Chained arithmetic | fi8	4	NA	UK Biobank
NEALE2_6154_2	Ibuprofen (e.g. nurofen) | medication for pain relief, constipation, heartburn	4	CHEBI_5855	UK Biobank
NEALE2_6162_2	Walk | types of transport used (excluding work)	4	NA	UK Biobank
NEALE2_6162_3	Public transport | types of transport used (excluding work)	4	NA	UK Biobank
NEALE2_6164_5	Heavy diy (eg: weeding, lawn mowing, carpentry, digging) | types of physical activity in last 4 weeks	4	NA	UK Biobank
NEALE2_6179_1	Fish oil (including cod liver oil) | mineral and other dietary supplements	4	NA	UK Biobank
NEALE2_699_raw	Length of time at current address	4	NA	UK Biobank
FINNGEN_R5_G6_MIGRAINE	Migraine	2	EFO_0003821	FinnGEN
NEALE2_20114_9	Diabetes | illnesses of adopted siblings	4	EFO_0000400	UK Biobank
FINNGEN_R5_E4_DM1KETO	Type 1 diabetes with ketoacidosis	8	EFO_1000897	FinnGEN
NEALE2_20018	Prospective memory result	4	EFO_0004333	UK Biobank
NEALE2_20403	Amount of alcohol drunk on a typical drinking day	4	EFO_0004329	UK Biobank
NEALE2_20416	Frequency of consuming six or more units of alcohol	4	EFO_0004329	UK Biobank
NEALE2_3456	Number of cigarettes currently smoked daily (current cigarette smokers)	4	EFO_0004318	UK Biobank
NEALE2_4957	Word interpolation | fi3	4	EFO_0004337	UK Biobank
FINNGEN_R5_D3_ANAEMIA	Anaemias	8	MONDO_0002280	FinnGEN
GCST90038641	Psychological or psychiatric problem	4	MONDO_0002025	GWAS Catalog
FINNGEN_R5_KRA_PSY_SUBSTANCE_EXMORE	Substance abuse (more control exclusions)	2	MONDO_0002491	FinnGEN
GCST006907	Ischemic stroke (large artery atherosclerosis)	4	EFO_0005524	GWAS Catalog
GCST006910	Ischemic stroke (cardioembolic)	4	EFO_1001976	GWAS Catalog
NEALE2_20111_1	Heart disease | illnesses of siblings	4	EFO_0000319	UK Biobank
SAIGE_443	Peripheral vascular disease	4	EFO_0003875	UK Biobank
FINNGEN_R5_C_STROKE	STROKE	4	EFO_0000712	FinnGEN
FINNGEN_R5_I9_HEARTFAIL_AND_HYPERTCARDIOM	Heart failure and hypertrophic cardiomyopathy	16	EFO_0000538, EFO_0003144	FinnGEN
FINNGEN_R5_I9_HYPTENSHR	Hypertensive heart and/or renal disease	1	MONDO_0001302, MONDO_0024633	FinnGEN
NEALE2_20544_7	Obsessive compulsive disorder (ocd) | mental health problems ever diagnosed by a professional	4	EFO_0004242	UK Biobank
FINNGEN_R5_E4_DM1NEU	Type 1 diabetes with neurological complications	3	EFO_1000783	FinnGEN
FINNGEN_R5_F5_DEPRESSIO	Depression	2	MONDO_0002050	FinnGEN
FINNGEN_R5_SLE_FG	SLE (Finngen)	7	EFO_0002690	FinnGEN
GCST003374	Chronic kidney disease	4	EFO_0003884	GWAS Catalog
GCST90038631	Kidney stone, ureter stone or bladder stone	4	MONDO_0024647	GWAS Catalog
NEALE2_6147_3	For just reading/near work as you are getting older (called 'presbyopia') | reason for glasses/contact lenses	4	MONDO_0004892	UK Biobank
FINNGEN_R5_DM_BCKGRND_RETINA	Background diabetic retinopathy	4	EFO_0003770	FinnGEN
FINNGEN_R5_DM_RETINA_NOS	Unspecified diabetic retinopathy	7	EFO_0003770	FinnGEN
FINNGEN_R5_DRY_AMD	Dry age-related macular degeneration (includes geographic atrophy)	8	MONDO_0100114	FinnGEN
FINNGEN_R5_H7_CONJUNCTIVITIS	Conjunctivitis	1	EFO_0009450	FinnGEN
FINNGEN_R5_H7_RETINOPATHYDIAB_BKG	Diabetic background retinopathy	4	EFO_0003770	FinnGEN
FINNGEN_R5_H7_RETINOPATHYDIAB_PROLIF	Proliferative diabetic retinopathy	4	EFO_0009322	FinnGEN
SAIGE_241	Nontoxic nodular goiter	4	EFO_1001062	UK Biobank
FINNGEN_R5_ULCERRECT	Ulcerative rectosigmoiditis	5	EFO_1001223	FinnGEN
SAIGE_571_5	Other chronic nonalcoholic liver disease	4	EFO_0003095	UK Biobank
SAIGE_574_3	Cholecystitis without cholelithiasis	4	EFO_1000790	UK Biobank
FINNGEN_R5_K11_CROHN	Crohn disease	9	EFO_0000384	FinnGEN
FINNGEN_R5_THROMBOCYTAEMIA	Essential (haemorrhagic) thrombocythaemia	2	EFO_0000479	FinnGEN
