outcome_datasets	outcome_trait	num_assoc_loci	outcome_trait_efo	outcome_data_source
FINNGEN_R5_N14_HYPERTROPHYBREAST	Hypertrophy of breast	10	HP_0010313	FinnGEN
FINNGEN_R5_PAIN	Pain (limb, back, neck, head abdominally)	9	EFO_0003766, HP_0002315, HP_0009763	FinnGEN
GCST006586	Urinary albumin excretion	44	EFO_0004285	GWAS Catalog
GCST006908	Ischemic stroke	10	HP_0002140	GWAS Catalog
GCST90012790	Percentage of invited food questionnaires completed	13	EFO_0010130	GWAS Catalog
GCST90012792	Acceptance of an invitation to participate in a mental health questionnaire	39	EFO_0010130	GWAS Catalog
GCST90012794	Participation in an health questionnaire (not invited vs invited)	32	EFO_0010130	GWAS Catalog
GCST90038609	Angina	27	EFO_0003913	GWAS Catalog
GCST90038615	Deep venous thrombosis	10	EFO_0003907	GWAS Catalog
GCST90038690	High cholesterol	100	HP_0003124	GWAS Catalog
NEALE2_1210	Snoring	36	HP_0025267	UK Biobank
NEALE2_1717	Skin colour	197	EFO_0003784	UK Biobank
NEALE2_1747_1	Blonde | hair colour (natural, before greying)	240	EFO_0003924	UK Biobank
NEALE2_1747_2	Red | hair colour (natural, before greying)	63	EFO_0003924	UK Biobank
NEALE2_1747_3	Light brown | hair colour (natural, before greying)	75	EFO_0003924	UK Biobank
NEALE2_1747_4	Dark brown | hair colour (natural, before greying)	224	EFO_0003924	UK Biobank
NEALE2_1747_5	Black | hair colour (natural, before greying)	104	EFO_0003924	UK Biobank
NEALE2_1920	Mood swings	43	HP_0000720	UK Biobank
NEALE2_1940	Irritability	36	HP_0000737	UK Biobank
NEALE2_2257	Hearing difficulty/problems with background noise	20	HP_0000364	UK Biobank
NEALE2_2316	Wheeze or whistling in the chest in last year	38	EFO_0009715	UK Biobank
NEALE2_2724	Had menopause	32	EFO_0003922	UK Biobank
NEALE2_30530_raw	Sodium in urine	45	HP_0012603	UK Biobank
NEALE2_4700_raw	Age cataract diagnosed	18	HP_0011141	UK Biobank
NEALE2_6147_1	For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') | reason for glasses/contact lenses	19	HP_0000545	UK Biobank
NEALE2_6150_2	Angina | vascular/heart problems diagnosed by doctor	17	EFO_0003913	UK Biobank
NEALE2_6159_1	Headache | pain type(s) experienced in last month	36	HP_0002315	UK Biobank
NEALE2_6159_7	Knee pain | pain type(s) experienced in last month	9	HP_0030839	UK Biobank
SAIGE_272_11	Hypercholesterolemia	40	HP_0003124	UK Biobank
SAIGE_411_3	Angina pectoris	21	EFO_0003913	UK Biobank
SAIGE_454	Varicose veins	22	HP_0002619	UK Biobank
SAIGE_550	Abdominal hernia	11	HP_0004299	UK Biobank
SAIGE_550_1	Inguinal hernia	28	HP_0000023	UK Biobank
SAIGE_550_2	Diaphragmatic hernia	10	EFO_0008561	UK Biobank
SAIGE_728_7	Fasciitis	38	HP_0100537	UK Biobank
FINNGEN_R5_CD2_BENIGN_LEIOMYOMA_UTERI_EXALLC	Leiomyoma of uterus (controls excluding all cancers)	51	HP_0000131	FinnGEN
FINNGEN_R5_H7_CATARACTSENILE	Senile cataract	14	HP_0011141	FinnGEN
FINNGEN_R5_I9_ANGINA	Angina pectoris	21	EFO_0003913	FinnGEN
FINNGEN_R5_I9_PHLETHROMBDVTLOW	DVT of lower extremities	29	EFO_0003907	FinnGEN
FINNGEN_R5_I9_VARICVE	Varicose veins	54	HP_0002619	FinnGEN
FINNGEN_R5_K11_HERING	Inguinal hernia	33	HP_0000023	FinnGEN
FINNGEN_R5_K11_UMBHER	Umbilical hernia	8	HP_0001537	FinnGEN
FINNGEN_R5_M13_HALLUXVALGUS	Hallux valgus (acquired)	9	HP_0001822	FinnGEN
GCST000568	Fasting blood glucose	15	EFO_0004465	GWAS Catalog
GCST000755	HDL cholesterol	66	EFO_0004612	GWAS Catalog
GCST000758	Triglycerides	35	EFO_0004530	GWAS Catalog
GCST000759	LDL cholesterol	58	EFO_0004611	GWAS Catalog
GCST000760	Cholesterol, total	73	EFO_0004574	GWAS Catalog
GCST001791	Urate levels	38	EFO_0004531	GWAS Catalog
GCST002216	Triglycerides	75	EFO_0004530	GWAS Catalog
GCST002221	Cholesterol, total	147	EFO_0004574	GWAS Catalog
GCST002222	LDL cholesterol	122	EFO_0004611	GWAS Catalog
GCST002223	HDL cholesterol	143	EFO_0004612	GWAS Catalog
GCST002783	Body mass index	91	EFO_0004340	GWAS Catalog
GCST003372	Glomerular filtration rate (creatinine)	49	EFO_0004518, EFO_0005208	GWAS Catalog
GCST003401	Glomerular filtration rate in non diabetics (creatinine)	50	EFO_0004518, EFO_0005208	GWAS Catalog
GCST003496	Educational attainment	13	EFO_0004784	GWAS Catalog
GCST003659	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	10	EFO_0004340, EFO_0004471	GWAS Catalog
GCST003770	Neuroticism	10	EFO_0007660	GWAS Catalog
GCST004074	Intraocular pressure	17	EFO_0004695	GWAS Catalog
GCST004075	Vertical cup-disc ratio	23	EFO_0006939	GWAS Catalog
GCST004076	Optic disc area	12	EFO_0006937	GWAS Catalog
GCST004137	Optic cup area	67	EFO_0006940	GWAS Catalog
GCST004422	Vascular endothelial growth factor levels	13	EFO_0004762	GWAS Catalog
GCST004424	TRAIL levels	21	EFO_0008300	GWAS Catalog
GCST004433	Macrophage inflammatory protein 1b levels	59	EFO_0008219	GWAS Catalog
GCST004439	Interleukin-12p70 levels	10	EFO_0004753	GWAS Catalog
GCST004599	Mean platelet volume	340	EFO_0004584	GWAS Catalog
GCST004600	Eosinophil percentage of white cells	226	EFO_0007991	GWAS Catalog
GCST004601	Red blood cell count	247	EFO_0004305	GWAS Catalog
GCST004602	Mean corpuscular volume	344	EFO_0004526	GWAS Catalog
GCST004603	Platelet count	325	EFO_0004309	GWAS Catalog
GCST004604	Hematocrit	168	EFO_0004348	GWAS Catalog
GCST004605	Mean corpuscular hemoglobin concentration	105	EFO_0004528	GWAS Catalog
GCST004606	Eosinophil counts	246	EFO_0004842	GWAS Catalog
GCST004607	Plateletcrit	304	EFO_0007985	GWAS Catalog
GCST004608	Granulocyte percentage of myeloid white cells	247	EFO_0007997	GWAS Catalog
GCST004609	Monocyte percentage of white cells	263	EFO_0007989	GWAS Catalog
GCST004610	White blood cell count	218	EFO_0004308	GWAS Catalog
GCST004611	High light scatter reticulocyte count	242	EFO_0007986	GWAS Catalog
GCST004612	High light scatter reticulocyte percentage of red cells	249	EFO_0007986	GWAS Catalog
GCST004613	Sum neutrophil eosinophil counts	192	EFO_0009390	GWAS Catalog
GCST004614	Granulocyte count	190	EFO_0007987	GWAS Catalog
GCST004615	Hemoglobin concentration	181	EFO_0004509	GWAS Catalog
GCST004616	Platelet distribution width	222	EFO_0007984	GWAS Catalog
GCST004617	Eosinophil percentage of granulocytes	209	EFO_0007996	GWAS Catalog
GCST004618	White blood cell count (basophil)	96	EFO_0005090	GWAS Catalog
GCST004619	Reticulocyte fraction of red cells	243	EFO_0007986	GWAS Catalog
GCST004620	Sum basophil neutrophil counts	190	EFO_0009388	GWAS Catalog
GCST004621	Red cell distribution width	248	EFO_0005192	GWAS Catalog
GCST004622	Reticulocyte count	236	EFO_0007986	GWAS Catalog
GCST004623	Neutrophil percentage of granulocytes	191	EFO_0007994	GWAS Catalog
GCST004624	Sum eosinophil basophil counts	239	EFO_0009389	GWAS Catalog
GCST004625	Monocyte count	278	EFO_0005091	GWAS Catalog
GCST004626	Myeloid white cell count	199	EFO_0007988	GWAS Catalog
GCST004627	Lymphocyte counts	224	EFO_0004587	GWAS Catalog
GCST004628	Immature fraction of reticulocytes	182	EFO_0007986	GWAS Catalog
GCST004629	Neutrophil count	188	EFO_0004833	GWAS Catalog
GCST004630	Mean corpuscular hemoglobin	308	EFO_0004527	GWAS Catalog
GCST004631	Basophil percentage of white cells	85	EFO_0007992	GWAS Catalog
GCST004632	Lymphocyte percentage of white cells	167	EFO_0007993	GWAS Catalog
GCST004633	Neutrophil percentage of white cells	161	EFO_0007990	GWAS Catalog
GCST004634	Basophil percentage of granulocytes	75	EFO_0007995	GWAS Catalog
GCST005068	LDL cholesterol	9	EFO_0004611	GWAS Catalog
GCST005186	Fasting blood glucose	23	EFO_0004465	GWAS Catalog
GCST005232	Neuroticism	87	EFO_0007660	GWAS Catalog
GCST005314	Offspring birth weight	10	EFO_0004344, EFO_0005939	GWAS Catalog
GCST005327	Neuroticism	9	EFO_0007660	GWAS Catalog
GCST005345	Total body bone mineral density (age 0-15)	9	EFO_0003923	GWAS Catalog
GCST005346	Total body bone mineral density (age 30-45)	9	EFO_0003923	GWAS Catalog
GCST005350	Total body bone mineral density (age 45-60)	22	EFO_0003923	GWAS Catalog
GCST005367	Vitamin D levels	13	EFO_0004631	GWAS Catalog
GCST005921	Family history of Alzheimer's disease	20	EFO_0009268	GWAS Catalog
GCST005923	Maternal history of Alzheimer's disease	10	EFO_0009268	GWAS Catalog
GCST006097	Moderate to vigorous physical activity levels	21	EFO_0008002	GWAS Catalog
GCST006100	Strenuous sports or other exercises	14	EFO_0008002	GWAS Catalog
GCST006268	Reaction time	40	EFO_0008393	GWAS Catalog
GCST006288	Heel bone mineral density	346	EFO_0009270	GWAS Catalog
GCST006366	Central corneal thickness	31	EFO_0005213	GWAS Catalog
GCST006478	Worry	67	EFO_0009589	GWAS Catalog
GCST006572	Cognitive performance	176	EFO_0008354	GWAS Catalog
GCST006697	Parental longevity (combined parental attained age, Martingale residuals)	11	EFO_0007796	GWAS Catalog
GCST006701	Parental longevity (father's attained age)	18	EFO_0007796	GWAS Catalog
GCST006804	Red cell distribution width	195	EFO_0005192	GWAS Catalog
GCST006940	Neurociticism	101	EFO_0007660	GWAS Catalog
GCST006941	Irritable mood	40	EFO_0009594	GWAS Catalog
GCST006943	Feeling miserable	32	EFO_0009598	GWAS Catalog
GCST006944	Experiencing mood swings	42	EFO_0008475	GWAS Catalog
GCST006945	Feeling guilty	14	EFO_0009595	GWAS Catalog
GCST006946	Worry too long after an embarrassing experience	21	EFO_0009589	GWAS Catalog
GCST006947	Feeling fed-up	32	EFO_0009588	GWAS Catalog
GCST006948	Feeling nervous	34	EFO_0009597	GWAS Catalog
GCST006950	Feeling worry	38	EFO_0009589	GWAS Catalog
GCST006951	Feeling hurt	28	EFO_0009599	GWAS Catalog
GCST006952	Feeling tense	22	EFO_0009596	GWAS Catalog
GCST006979	Heel bone mineral density	1007	EFO_0009270	GWAS Catalog
GCST007429	Lung function (FVC)	334	EFO_0004312	GWAS Catalog
GCST007430	Peak expiratory flow	265	EFO_0009718	GWAS Catalog
GCST007431	Lung function (FEV1/FVC)	427	EFO_0004713	GWAS Catalog
GCST007432	FEV1	358	EFO_0004314	GWAS Catalog
GCST007557	Birth weight	55	EFO_0004344	GWAS Catalog
GCST007858	Fasting blood glucose adjusted for BMI	13	EFO_0008036	GWAS Catalog
GCST009760	Snoring	39	EFO_0008341	GWAS Catalog
GCST009761	Snoring [adjusted for BMI]	34	EFO_0008341	GWAS Catalog
GCST009763	Snoring	13	EFO_0008341	GWAS Catalog
GCST009971	Nicotine metabolite ratio in current smokers	21	EFO_0007794	GWAS Catalog
GCST010144	Serum 25-Hydroxyvitamin D levels	145	EFO_0004631	GWAS Catalog
GCST011494	Daytime nap	121	EFO_0007828	GWAS Catalog
GCST90000025	Appendicular lean mass	1538	EFO_0004980	GWAS Catalog
GCST90000026	Appendicular lean mass	584	EFO_0004980	GWAS Catalog
GCST90000027	Appendicular lean mass	806	EFO_0004980	GWAS Catalog
GCST90000045	Age at first sexual intercourse	82	EFO_0009749	GWAS Catalog
GCST90000046	Age at first sexual intercourse	79	EFO_0009749	GWAS Catalog
GCST90000047	Age at first sexual intercourse	244	EFO_0009749	GWAS Catalog
GCST90000048	Age at first birth	71	EFO_0009101	GWAS Catalog
GCST90000050	Age at first birth	73	EFO_0009101	GWAS Catalog
GCST90000059	Diastolic blood pressure	325	EFO_0006336	GWAS Catalog
GCST90000290	Myocardial fractal dimension (slice 4)	9	EFO_0008205	GWAS Catalog
GCST90000292	Myocardial fractal dimension (slice 6)	9	EFO_0008205	GWAS Catalog
GCST90000614	Serum 25-Hydroxyvitamin D levels	138	EFO_0004631	GWAS Catalog
GCST90000615	Serum 25-Hydroxyvitamin D levels	153	EFO_0004631	GWAS Catalog
GCST90000616	Serum 25-Hydroxyvitamin D levels	150	EFO_0004631	GWAS Catalog
GCST90000617	Serum 25-Hydroxyvitamin D levels	131	EFO_0004631	GWAS Catalog
GCST90000618	Serum 25-Hydroxyvitamin D levels	146	EFO_0004631	GWAS Catalog
GCST90002292	Basophil count	291	EFO_0005090	GWAS Catalog
GCST90002298	Eosinophil counts	850	EFO_0004842	GWAS Catalog
GCST90002304	Hematocrit	858	EFO_0004348	GWAS Catalog
GCST90002310	Hemoglobin concentration	893	EFO_0004509	GWAS Catalog
GCST90002316	Lymphocyte counts	985	EFO_0004587	GWAS Catalog
GCST90002322	Mean corpuscular hemoglobin	933	EFO_0004528	GWAS Catalog
GCST90002328	Mean corpuscular hemoglobin concentration	351	EFO_0004528	GWAS Catalog
GCST90002334	Mean corpuscular volume	1121	EFO_0004526	GWAS Catalog
GCST90002340	Monocyte count	1036	EFO_0005091	GWAS Catalog
GCST90002346	Mean platelet volume	1037	EFO_0004584	GWAS Catalog
GCST90002351	Neutrophil count	762	EFO_0004833	GWAS Catalog
GCST90002357	Platelet count	1252	EFO_0004309	GWAS Catalog
GCST90002363	Red blood cell count	1119	EFO_0007978	GWAS Catalog
GCST90002369	Red cell distribution width	819	EFO_0005192	GWAS Catalog
GCST90002374	White blood cell count	1041	EFO_0007988	GWAS Catalog
GCST90002379	Basophil count	234	EFO_0005090	GWAS Catalog
GCST90002380	Basophil percentage of white cells	192	EFO_0007992	GWAS Catalog
GCST90002381	Eosinophil counts	792	EFO_0004842	GWAS Catalog
GCST90002382	Eosinophil percentage of white cells	742	EFO_0007991	GWAS Catalog
GCST90002383	Hematocrit	684	EFO_0004348	GWAS Catalog
GCST90002384	Hemoglobin	709	EFO_0004509	GWAS Catalog
GCST90002385	High light scatter reticulocyte count	786	EFO_0007986	GWAS Catalog
GCST90002386	High light scatter reticulocyte percentage of red cells	758	EFO_0010700	GWAS Catalog
GCST90002387	Immature fraction of reticulocytes	479	EFO_0010700	GWAS Catalog
GCST90002388	Lymphocyte counts	837	EFO_0004587	GWAS Catalog
GCST90002389	Lymphocyte percentage of white cells	603	EFO_0007993	GWAS Catalog
GCST90002390	Mean corpuscular hemoglobin	891	EFO_0004527	GWAS Catalog
GCST90002391	Mean corpuscular hemoglobin concentration	298	EFO_0004528	GWAS Catalog
GCST90002392	Mean corpuscular volume	980	EFO_0004526	GWAS Catalog
GCST90002394	Monocyte percentage of white cells	724	EFO_0007989	GWAS Catalog
GCST90002395	Mean platelet volume	992	EFO_0004584	GWAS Catalog
GCST90002396	Mean reticulocyte volume	835	EFO_0010701	GWAS Catalog
GCST90002397	Mean spheric corpuscular volume	1054	EFO_0004526	GWAS Catalog
GCST90002398	Neutrophil count	651	EFO_0004833	GWAS Catalog
GCST90002399	Neutrophil percentage of white cells	570	EFO_0007990	GWAS Catalog
GCST90002400	Plateletcrit	952	EFO_0007985	GWAS Catalog
GCST90002401	Platelet distribution width	741	EFO_0007984	GWAS Catalog
GCST90002402	Platelet count	989	EFO_0004309	GWAS Catalog
GCST90002403	Red blood cell count	921	EFO_0004305	GWAS Catalog
GCST90002404	Red cell distribution width	701	EFO_0005192	GWAS Catalog
GCST90002405	Reticulocyte count	770	EFO_0007986	GWAS Catalog
GCST90002406	Reticulocyte fraction of red cells	725	EFO_0010700	GWAS Catalog
GCST90002407	White blood cell count	836	EFO_0004308	GWAS Catalog
GCST90002409	Childhood body mass index	17	EFO_0004340	GWAS Catalog
GCST90002412	Low density lipoprotein cholesterol levels	599	EFO_0004611	GWAS Catalog
GCST90007526	Low hand grip strength (60 years and older) (EWGSOP)	13	EFO_0006941	GWAS Catalog
GCST90010138	Low affinity immunoglobulin gamma Fc region receptor II-b levels	15	EFO_0007937	GWAS Catalog
GCST90010165	P-selectin glycoprotein ligand 1 levels	18	EFO_0007937	GWAS Catalog
GCST90010195	C-C motif chemokine 15 levels	9	EFO_0007937	GWAS Catalog
GCST90010229	Interleukin-6 receptor subunit alpha levels	10	EFO_0007937	GWAS Catalog
GCST90010260	Tyrosine-protein phosphatase non-receptor type substrate 1 levels	12	EFO_0007937	GWAS Catalog
GCST90010262	ST2 protein levels	9	EFO_0007937	GWAS Catalog
GCST90010277	Lysophosphatidic acid phosphatase type 6 levels	25	EFO_0007937	GWAS Catalog
GCST90010310	Ectonucleoside triphosphate diphosphohydrolase 5 levels	15	EFO_0007937	GWAS Catalog
GCST90012000	E-selectin levels	25	EFO_0004575	GWAS Catalog
GCST90012002	Osteoprotegerin levels	9	EFO_0005918	GWAS Catalog
GCST90012009	Galectin-3 levels	20	EFO_0008137	GWAS Catalog
GCST90012011	TNF-related apoptosis-inducing ligand levels	10	EFO_0008300	GWAS Catalog
GCST90012013	Angiopoietin-1 receptor levels	13	EFO_0010600	GWAS Catalog
GCST90012014	Tissue factor levels	12	EFO_0010623	GWAS Catalog
GCST90012017	Interleukin-27 levels	17	EFO_0010916	GWAS Catalog
GCST90012023	Stem cell factor levels	19	EFO_0008291	GWAS Catalog
GCST90012024	Interleukin-18 levels	12	EFO_0004581	GWAS Catalog
GCST90012025	Interleukin-6 receptor subunit alpha levels	20	EFO_0008187	GWAS Catalog
GCST90012027	Matrix metalloproteinase-3 levels	9	EFO_0004744	GWAS Catalog
GCST90012031	Myeloperoxidase levels	16	EFO_0005243	GWAS Catalog
GCST90012033	Matrix metalloproteinase-1 levels	15	EFO_0010588	GWAS Catalog
GCST90012034	Resistin levels	16	EFO_0004819	GWAS Catalog
GCST90012036	Pappalysin-1 levels	14	EFO_0010618	GWAS Catalog
GCST90012039	Chitinase-3-like protein 1 levels	11	EFO_0004869	GWAS Catalog
GCST90012040	ST2 protein levels	18	EFO_0010599	GWAS Catalog
GCST90012041	Kidney injury molecule 1 levels	20	EFO_0010917	GWAS Catalog
GCST90012049	Pro-interleukin-16 levels	9	EFO_0010629	GWAS Catalog
GCST90012050	Matrix metalloproteinase-10 levels	9	EFO_0010589	GWAS Catalog
GCST90012051	Urokinase plasminogen activator surface receptor levels	9	EFO_0010932	GWAS Catalog
GCST90012052	C-C motif chemokine 4 levels	17	EFO_0004751	GWAS Catalog
GCST90012053	Cathepsin D levels	12	EFO_0010611	GWAS Catalog
GCST90012055	C-C motif chemokine 3 levels	9	EFO_0008051	GWAS Catalog
GCST90012059	C-X-C motif chemokine 16 levels	13	EFO_0010911	GWAS Catalog
GCST90012060	Dickkopf-related protein 1 levels	9	EFO_0010620	GWAS Catalog
GCST90012070	Matrix metalloproteinase-12 levels	11	EFO_0010590	GWAS Catalog
GCST90012073	Cathepsin L1 levels	11	EFO_0010619	GWAS Catalog
GCST90012078	Ovarian cancer-related tumor marker CA 125 levels	10	EFO_0010603	GWAS Catalog
GCST90012102	Bioavailable testosterone levels	175	EFO_0004908	GWAS Catalog
GCST90012103	Bioavailable testosterone levels	102	EFO_0004908	GWAS Catalog
GCST90012104	Bioavailable testosterone levels	134	EFO_0004908	GWAS Catalog
GCST90012105	Estradiol levels	16	EFO_0004697	GWAS Catalog
GCST90012106	Sex hormone-binding globulin levels adjusted for BMI	426	EFO_0004696	GWAS Catalog
GCST90012107	Sex hormone-binding globulin levels	321	EFO_0004696	GWAS Catalog
GCST90012108	Sex hormone-binding globulin levels adjusted for BMI	386	EFO_0004696	GWAS Catalog
GCST90012109	Sex hormone-binding globulin levels	334	EFO_0004696	GWAS Catalog
GCST90012110	Sex hormone-binding globulin levels adjusted for BMI	815	EFO_0004696	GWAS Catalog
GCST90012111	Sex hormone-binding globulin levels	617	EFO_0004696	GWAS Catalog
GCST90012112	Total testosterone levels	261	EFO_0004908	GWAS Catalog
GCST90012113	Total testosterone levels	217	EFO_0004908	GWAS Catalog
GCST90012114	Total testosterone levels	241	EFO_0004908	GWAS Catalog
GCST90012878	Family history of Alzheimer's disease	11	EFO_0009268	GWAS Catalog
GCST90013405	Liver enzyme levels (alanine transaminase)	358	EFO_0004735	GWAS Catalog
GCST90016667	Spleen volume	35	EFO_0600047	GWAS Catalog
GCST90016669	Pancreas volume	17	EFO_0600045	GWAS Catalog
GCST90016673	Percent liver fat	11	EFO_0010821	GWAS Catalog
GCST90019381	Phospholipase D3 measurement	10	EFO_0007937	GWAS Catalog
GCST90019384	SPARC-related modular calcium-binding protein 1 measurement	11	EFO_0007937	GWAS Catalog
GCST90019385	Protein Z-dependent protease inhibitor measurement	11	EFO_0007937	GWAS Catalog
GCST90019406	Heme oxygenase 1 measurement	9	EFO_0007937	GWAS Catalog
GCST90019444	Interleukin-1 receptor-like 1 measurement	13	EFO_0008168	GWAS Catalog
GCST90019446	C-reactive protein measurement	9	EFO_0004458	GWAS Catalog
GCST90019456	Galectin-3-binding protein measurement	12	EFO_0010241	GWAS Catalog
GCST90019473	Sulfhydryl oxidase 2 measurement	10	EFO_0007937	GWAS Catalog
GCST90019482	Gamma-glutamyl hydrolase measurement	12	EFO_0007937	GWAS Catalog
GCST90020053	Frailty index	13	EFO_0009885	GWAS Catalog
GCST90020091	Estradiol levels	14	EFO_0004697	GWAS Catalog
GCST90025948	Serum phosphate levels	269	EFO_0010972	GWAS Catalog
GCST90025958	Sex hormone-binding globulin levels	635	EFO_0004696	GWAS Catalog
GCST90025988	Red cell distribution width	626	EFO_0005192	GWAS Catalog
NEALE2_102_raw	Pulse rate, automated reading	290	EFO_0008111	UK Biobank
NEALE2_1160	Sleep duration	55	EFO_0005271	UK Biobank
NEALE2_1180	Morning/evening person (chronotype)	118	EFO_0008328	UK Biobank
NEALE2_1220	Daytime dozing / sleeping (narcolepsy)	23	EFO_0007875	UK Biobank
NEALE2_1299	Salad / raw vegetable intake	11	EFO_0008111	UK Biobank
NEALE2_1309	Fresh fruit intake	34	EFO_0008111	UK Biobank
NEALE2_1319	Dried fruit intake	29	EFO_0008111	UK Biobank
NEALE2_1329	Oily fish intake	47	EFO_0008111	UK Biobank
NEALE2_1349	Processed meat intake	11	EFO_0008111	UK Biobank
NEALE2_1369	Beef intake	10	EFO_0008111	UK Biobank
NEALE2_1379	Lamb/mutton intake	16	EFO_0008111	UK Biobank
NEALE2_1428_1	Butter/spreadable butter | spread type	12	EFO_0008111	UK Biobank
NEALE2_1448_1	White | bread type	22	EFO_0008111	UK Biobank
NEALE2_1448_3	Wholemeal or wholegrain | bread type	16	EFO_0008111	UK Biobank
NEALE2_1468_4	Muesli | cereal type	11	EFO_0008111	UK Biobank
NEALE2_1468_5	Other (e.g. cornflakes, frosties) | cereal type	11	EFO_0008111	UK Biobank
NEALE2_1478	Salt added to food	69	EFO_0008111	UK Biobank
NEALE2_1538_0	No | major dietary changes in the last 5 years	11	EFO_0008111	UK Biobank
NEALE2_1558	Alcohol intake frequency.	72	EFO_0007878	UK Biobank
NEALE2_1568	Average weekly red wine intake	16	EFO_0007878	UK Biobank
NEALE2_1588	Average weekly beer plus cider intake	14	EFO_0007878	UK Biobank
NEALE2_1618	Alcohol usually taken with meals	19	EFO_0007878	UK Biobank
NEALE2_1628	Alcohol intake versus 10 years previously	10	EFO_0007878	UK Biobank
NEALE2_1697	Comparative height size at age 10	680	EFO_0004339	UK Biobank
NEALE2_1930	Miserableness	35	EFO_0007803	UK Biobank
NEALE2_1950	Sensitivity / hurt feelings	28	EFO_0007803	UK Biobank
NEALE2_1960	Fed-up feelings	39	EFO_0009588	UK Biobank
NEALE2_1970	Nervous feelings	40	EFO_0007803	UK Biobank
NEALE2_1990	Tense / 'highly strung'	26	EFO_0009596	UK Biobank
NEALE2_2000	Worry too long after embarrassment	27	EFO_0009589	UK Biobank
NEALE2_20015_raw	Sitting height	1021	EFO_0011011	UK Biobank
NEALE2_20022_raw	Birth weight	89	EFO_0004344	UK Biobank
NEALE2_20023_raw	Mean time to correctly identify matches	37	EFO_0008393	UK Biobank
NEALE2_20110_8	High blood pressure | illnesses of mother	19	EFO_0004325	UK Biobank
NEALE2_20111_8	High blood pressure | illnesses of siblings	17	EFO_0004325	UK Biobank
NEALE2_20150_raw	Forced expiratory volume in 1-second (fev1), best measure	339	EFO_0004314	UK Biobank
NEALE2_20151_raw	Forced vital capacity (fvc), best measure	421	EFO_0004312	UK Biobank
NEALE2_20153_raw	Forced expiratory volume in 1-second (fev1), predicted	412	EFO_0004314	UK Biobank
NEALE2_20154_raw	Forced expiratory volume in 1-second (fev1), predicted percentage	58	EFO_0004314	UK Biobank
NEALE2_2080	Frequency of tiredness / lethargy in last 2 weeks	26	EFO_0007946	UK Biobank
NEALE2_21001_raw	Body mass index (bmi)	502	EFO_0004340	UK Biobank
NEALE2_21002_raw	Weight	592	EFO_0004338	UK Biobank
NEALE2_21021_raw	Pulse wave arterial stiffness index	230	EFO_0004517	UK Biobank
NEALE2_2139_raw	Age first had sexual intercourse	122	EFO_0009749	UK Biobank
NEALE2_2247_0	No | hearing difficulty/problems	36	EFO_0008111	UK Biobank
NEALE2_22501_raw	Year ended full time education	12	EFO_0004784	UK Biobank
NEALE2_23098_raw	Weight	577	EFO_0004338	UK Biobank
NEALE2_23099_raw	Body fat percentage	461	EFO_0007800	UK Biobank
NEALE2_23100_raw	Whole body fat mass	462	EFO_0005409	UK Biobank
NEALE2_23102_raw	Whole body water mass	780	EFO_0009805	UK Biobank
NEALE2_23104_raw	Body mass index (bmi)	478	EFO_0004340	UK Biobank
NEALE2_23105_raw	Basal metabolic rate	736	EFO_0007777	UK Biobank
NEALE2_23111_raw	Leg fat percentage (right)	448	EFO_0007800	UK Biobank
NEALE2_23112_raw	Leg fat mass (right)	390	EFO_0005409	UK Biobank
NEALE2_23113_raw	Leg fat-free mass (right)	655	EFO_0004995	UK Biobank
NEALE2_23114_raw	Leg predicted mass (right)	655	EFO_0004995	UK Biobank
NEALE2_23115_raw	Leg fat percentage (left)	453	EFO_0007800	UK Biobank
NEALE2_23116_raw	Leg fat mass (left)	409	EFO_0004995	UK Biobank
NEALE2_23117_raw	Leg fat-free mass (left)	635	EFO_0004995	UK Biobank
NEALE2_23118_raw	Leg predicted mass (left)	634	EFO_0004995	UK Biobank
NEALE2_23119_raw	Arm fat percentage (right)	404	EFO_0007800	UK Biobank
NEALE2_23120_raw	Arm fat mass (right)	372	EFO_0004995	UK Biobank
NEALE2_23121_raw	Arm fat-free mass (right)	651	EFO_0004995	UK Biobank
NEALE2_23122_raw	Arm predicted mass (right)	650	EFO_0004995	UK Biobank
NEALE2_23123_raw	Arm fat percentage (left)	415	EFO_0007800	UK Biobank
NEALE2_23124_raw	Arm fat mass (left)	363	EFO_0004995	UK Biobank
NEALE2_23125_raw	Arm fat-free mass (left)	649	EFO_0004995	UK Biobank
NEALE2_23126_raw	Arm predicted mass (left)	643	EFO_0005409	UK Biobank
NEALE2_23127_raw	Trunk fat percentage	419	EFO_0007800	UK Biobank
NEALE2_23128_raw	Trunk fat mass	468	EFO_0005409	UK Biobank
NEALE2_23129_raw	Trunk fat-free mass	821	EFO_0004995	UK Biobank
NEALE2_23130_raw	Trunk predicted mass	808	EFO_0005409	UK Biobank
NEALE2_2375	Relative age of first facial hair	94	EFO_0009716	UK Biobank
NEALE2_2385	Relative age voice broke	26	EFO_0007888	UK Biobank
NEALE2_2395_1	Pattern 1 | hair/balding pattern	266	EFO_0007824	UK Biobank
NEALE2_2395_2	Pattern 2 | hair/balding pattern	52	EFO_0007824	UK Biobank
NEALE2_2395_3	Pattern 3 | hair/balding pattern	50	EFO_0007824	UK Biobank
