Uniprot ID
Q8NEV9,Q14213
P78380
P39900
P48061
P40933
P49771
Q16552
Q9P0M4
P03956
P13725
Q969D9
P01374
P10147
Q14116
P13500
Q99731
P13236
P02778
O14625
Q07325
P01579
P35225
P60568
O95760
P05112
P13232
P10145
P09603
P80075
P80098
Q99616
O43508
P01375
P22301
P51671
P01135
P05231
P14210
P50591
P15692
P09919
P01133
P01584
Q96PD4
P04141
P03950
Q9Y5C1
O95445
Q96KN2
P15907
Q16627
P55774
P13501
P12830
P00915
P07451
P22748
Q9NQ79
P49747
P13987
P08709
P03951
P39060
Q9BXJ1
P06681
Q9BXR6
P20023
P01034
P27487
Q12805
P17813
Q9UGM5
Q15485
Q16769
P22749
Q14393
P08581
P0DOY2
P17936
P24592
P11215
P05362
P32942
P16871
P14151
Q14767
Q8NHL6
Q8N423
O75023
P05451
P23141
P12318
O75015
Q9Y5Y7
P42785
P11226
P10721
P15529
Q16853
P01033
Q13361
Q9H1U4
P13591
O00533
P46531
O14786
P59665
P80188
P14543
Q99650
P19021
P55058
P05154
P07359
Q13093
O15031
Q15113
Q12884
Q13332
Q06141
P35542
Q14515
P00441
Q96H15
P24821
P22105
P35443
P05543
P20062
Q03167
Q15582
P07478
P35590
P07911
P19320
Q6EMK4
P04070
Q86SJ2
Q7Z5R6
Q8TD06
P15848
P08237
O43521-2
Q02742
P21810
Q06520
P11274
Q9UBG0
Q8N5S9
Q9BQT9
Q9NX58
P04637
Q49AH0
P02462
O43186
P0CG37
Q8WYN0
P16562
Q9UK85
P25685
P52564
Q13561
P22681
Q01543
P47929
A4D1B5
Q9NS71
O00451
P01275
P01242
Q9Y662
O60243
O75054
Q9NRM6
Q9UKR0
Q96I82
Q6UXK5
Q8N2G4
Q12912
Q6UB28
Q16653
O94760
O00221
Q969V3
Q92982
O95644
P23515
Q9UBM4
P30041
Q9NZ53
Q10471
Q96SM3
P58294
Q9HCU5
Q7Z5A7
O14904
O14917
Q13576
P57771
Q07960
Q9NZN5
Q6UXD5
Q9C0C4
O96013
Q96LC7
O43699
Q9P0V8
Q9H156
Q9H5Y7
Q86WV1
O14662
O43752
O95988
Q9Y6A5
Q9Y2W6
P09758
O95183
Q96PQ0
Q92558
Q9UPY6
Q13105
Q16698
Q76LX8
P35318
O00253
P35475
Q9BYF1
P22004
P35218
P31997
P07711
Q99895
O94907
P12104
P19883
P27352
P51161
P01241
Q9UK05
P04792
Q9UJM8
P18510
Q9HB29
Q8TAD2
P24394
Q04760
P41159
P06858
P31994
P47992
Q9UEW3
Q9UKP3
P16860
Q9Y6K9
Q8IYS5
Q14242
Q13219
P26022
P09874
P01833
Q14005
Q99075
P51888
Q16651
P02760
P21980
P25116
P12931
Q15109
P00797
Q9BQR3
Q13043
Q8IW75
Q9UIB8
Q9NQ25
Q99523
Q9BUD6
P04179
P07204
P40225
P35442
P13726
O14763
Q9Y6Q6
O14836
Q12866
Q96IQ7
Q9BWV1
O00220
O43915
Q15389
Q02763
Q92583
P29965
P07585
O00182
P09601
P09237
P01127
Q9BQ51
P01730
P49763
Q96D42
P15144
P20160
Q13867
Q16663
O15467
O00175
Q9H2A7
P33151
P15085
P15086
P42574
P07339
Q9UBR2
Q13740
P36222
Q13231
P02452
Q9NPY3
Q12860
P04080
P16581
P19957
P54760
P00533
P16422
P15090
P17931
P56470
P28799
Q99988
Q9HCN6
P08833
P18065
Q16270
P05107
P13598
P14778
P27930
Q96F46
O95998
P01589
P08887
Q9Y624
Q92876
P01130
P36941
Q9NQ76
P08253
P08254
P14780
Q99727
P24158
P05164
P02144
Q9UM47
P10451
P16109
Q15166
O75594
P98160
P05121
P16284
P04085
Q8NBP7
P80370
P35247
Q9HD89
Q99969
Q86VB7
Q96PL1
Q9HCB6
Q01638
P13686
P10646
P00750
P02786
Q07654
Q5T2D2
Q9Y275
P19438
P20333
O14798
Q92956
