trait_key_term	to_remove
Cancer of urinary organs (incl. kidney and bladder)	NA
Cancer within the respiratory system	NA
Cancer, suspected or other	NA
candesartan	NA
Canned soup intake	Y
carbimazole	NA
Carbimazole	NA
carbocisteine	NA
Carbohydrate	NA
carbomer	NA
carbonic anhydrase inhibitor	NA
Carbuncle and furuncle	NA
Carcinoid syndrome	NA
Carcinoma in situ of breast, intraductal (controls excluding all cancers)	NA
Carcinoma in situ of cervix uteri (controls excluding all cancers)	NA
Carcinoma in situ of prostate (controls excluding all cancers)	NA
Carcinoma in situ of skin	NA
Carcinoma in situ of skin (controls excluding all cancers)	NA
Carcinoma in situ of vulva (controls excluding all cancers)	NA
Carcinoma in situ, bladder (controls excluding all cancers)	NA
Carcinoma, Basal Cell	NA
Carcinoma, Non-Small-Cell Lung	NA
Cardiac and circulatory congenital anomalies	NA
Cardiac arrest	NA
Cardiac arrest and ventricular fibrillation	NA
cardiac arrhythmia	NA
Cardiac arrhythmias	NA
Cardiac arrhytmias	NA
Cardiac conduction disorders	NA
Cardiac congenital anomalies	NA
Cardiac dysrhythmias	NA
Cardiac pacemaker in situ	NA
Cardiac pacemaker/device in situ	NA
Cardiac shunt/ heart septal defect	NA
Cardiomegaly	NA
Cardiomyopathies	NA
Cardiomyopathies, Secondary/extrinsic	NA
Cardiomyopathy	NA
cardiomyopathy	NA
Cardiomyopathy (excluding other)	NA
Cardiomyopathy (no controls excluded)	NA
Cardiomyopathy in other diseases	NA
Cardiomyopathy, Hypertrophic	NA
Cardiomyopathy, Hypertrophic obstructive	NA
Cardiomyopathy, other and unspecified	NA
cardiovascular disease	NA
Cardiovascular Diseases	NA
Cardiovascular diseases (excluding rheumatic etc)	NA
Carditis	NA
Caries in Clefts patients	NA
Carotene	NA
Carpal Tunnel Syndrome	NA
carpal tunnel syndrome	NA
Caspase 8	Y
Cataract	NA
cataract	NA
Catechol O-Methyltransferase	Y
Catechol O-methyltransferase measurement	Y
Cathepsin D	Y
Cauliflower intake	Y
Causalgia	NA
CCL23 levels	Y
CCL25 levels	Y
CD6 levels	NA
cefalexin	NA
celecoxib	NA
Celery intake	Y
Celiac Disease	NA
Celiac disease	NA
Cellulitis	NA
Cellulitis and abscess of arm/hand	NA
Cellulitis and abscess of fingers/toes	NA
Cellulitis and abscess of oral soft tissues	NA
Cellulitis and abscess of trunk	NA
Central retinal artery occlusion	NA
Ceramide_42:1_[M-H]1- levels	Y
Ceramide_42:1_[M+H-H2O]1+ levels	NA
Ceramide_42:1_[M+H]1+ levels	NA
Cereal bar intake	Y
Cereal intake	Y
Cerebral amyloid angiopathy	NA
Cerebral aneurysm	NA
Cerebral aneurysm, nonruptured	NA
Certain early complications of trauma or procedure	NA
Cervical cancer	NA
Cervical cancer and dysplasia	NA
Cervical disc disorders	NA
Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	NA
Cervicobrachial syndrome	NA
cetirizine	NA
Chalazion	NA
Charcot foot	NA
Cheese intake	Y
Chemokine CCL8	NA
Chemotherapy	NA
Cherry intake	Y
Chest pain felt during physical activity	NA
Chest pain or discomfort	NA
Chest pain or discomfort when walking uphill or hurrying	NA
Childhood asthma (age<16)	NA
Childhood asthma (age<16) (more control exclusions)	NA
Childhood asthma (age<16) (more controls excluded)	NA
Childhood sunburn occasions	NA
Chitinase-3-Like Protein 1	Y
chloramphenicol	NA
chlorhexidine/neomycin	NA
chlorphenamine	NA
Chocolate bar intake	Y
Chocolate biscuits intake	Y
Chocolate-covered biscuits intake	Y
Cholangitis	NA
Cholangitis (primary sclerosing, PSC)	NA
Cholangitis (primary sclerosing, PSC), with reimbursement 202	NA
Cholecystectomy	NA
Cholecystitis	NA
cholecystitis	NA
Cholecystitis without cholelithiasis	NA
Cholelithiasis	NA
Cholelithiasis and cholecystitis	NA
Cholelithiasis with acute cholecystitis	NA
Cholelithiasis with other cholecystitis	NA
cholelithiasis,gallstones	NA
Cholera	NA
Cholesteatoma of middle ear	NA
Cholesterol	NA
cholesterol absorption inhibitor|anti-cholesterol agent	NA
Cholesterol lowering medication | medication for cholesterol, blood pressure or diabetes	NA
Cholesterol lowering medication | medication for cholesterol, blood pressure, diabetes, or take exogenous hormones	NA
Cholesterol_[M+H-H2O]1+ levels	Y
Cholesterol, LDL	NA
Cholesterolosis of gallbladder	NA
Cholesteryl ester_16:0_[M+NH4]1+ levels	Y
Cholesteryl ester_16:1_[M+NH4]1+ levels	Y
Cholesteryl ester_17:1_[M+NH4]1+ levels	Y
Cholesteryl ester_18:0_[M+NH4]1+ levels	Y
Cholesteryl ester_18:1_[M+NH4]1+ levels	Y
Cholesteryl ester_18:2_[M+NH4]1+ levels	Y
Cholesteryl ester_18:3_[M+NH4]1+ levels	Y
Cholesteryl ester_20:3_[M+NH4]1+ levels	Y
Cholesteryl ester_20:5_[M+NH4]1+ levels	Y
Chorioretinal inflammations, scars, and other disorders of choroid	NA
Chromosomal abnormalities, not elsewhere classified	NA
Chronic airway obstruction	NA
Chronic bronchitis	NA
Chronic conjunctivitis	NA
Chronic cystitis	NA
Chronic dermatitis due to solar radiation	NA
Chronic diseases of tonsils and adenoids	NA
Chronic gastritis	NA
Chronic glomerulonephritis, NOS	NA
Chronic hepatitis	NA
Chronic hepatitis NAS	NA
Chronic hepatitis, not elsewhere classified	NA
Chronic laryngitis	NA
Chronic laryngitis and laryngotracheitis	NA
Chronic liver disease and cirrhosis	NA
Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)	NA
Chronic myeloid leukaemia [CML], BCR/ABL-positive	NA
Chronic myeloid leukaemia, excluding all cancers (controls excluding all cancers)	NA
Chronic myeloproliferative disease	NA
Chronic nephritic syndrome	NA
chronic obstructive pulmonary disease	NA
Chronic pain	NA
Chronic periodontitis	NA
Chronic prostatitis	NA
Chronic renal failure [CKD]	NA
Chronic rhinitis, nasopharyngitis and pharyngitis	NA
Chronic sinusitis	NA
Chronic thyroiditis	NA
Chronic tonsillitis and adenoiditis	NA
Chronic ulcer of skin, not elsewhere classified	NA
Chronobiology Disorders	NA
chymotrypsin C	Y
Cicatricial alopecia [scarring hair loss]	NA
Cicatrix, Hypertrophic	NA
cimetidine	NA
ciprofloxacin	NA
Circulatory disease NEC	NA
Circumscribed brain atrophy	NA
Cirrhosis of liver, NAS	NA
Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523	NA
citalopram	NA
clarithromycin	NA
clavicle fracture	NA
Clear cell adenocarcinoma of kidney, excluding all cancers (controls excluding all cancers)	NA
Cleft lip, lip and palate or palate	NA
Cleft Palate	NA
clobetasol	NA
clobetasone butyrate	NA
clonazepam	NA
clonidine	NA
clopidogrel	NA
Clopidogrel	NA
Close to major road	NA
clotrimazole	NA
clotrimazole/hydrocortisone	NA
Coagulation defects	NA
Coagulation defects, purpura and other haemorrhagic conditions	NA
Coagulation factor VII measurement	Y
Coagulation factor XIII B chain measurement	Y
Coagulation factor XIII measurement	Y
codeine	NA
Codeine or tramadol medication	NA
codeine/paracetamol	NA
codine/paracetamol	NA
Coeliac disease	NA
Coffee consumed	NA
coffee consumption	NA
Coffee intake	Y
Cognition	NA
colchicine	NA
colecalciferol	NA
Coleslaw intake	Y
Colitis, primary sclerosing, strict definition	NA
Colitis, Ulcerative	NA
College or university degree | qualifications	Y
Colon adenocarcinoma, excluding all cancers (controls excluding all cancers)	NA
Colon cancer	NA
Colonic Neoplasms	NA
Colonic or urogenital fistula	NA
Colorectal adenocarcinoma, excluding all cancers (controls excluding all cancers)	NA
Colorectal cancer	NA
Colorectal Neoplasms	NA
combination anti-hypertensive|anti-hypertensive|beta blocker|diuretic|thiazide diuretic	NA
combination anti-malarial|anti-malarial	NA
Common variable immunodeficiency	NA
Comparative body size at age 10	NA
Comparative height size at age 10	NA
Complement component C8 measurement	Y
Complement factor H measurement	Y
Completion status of test	NA
Complication due to other implant and internal device	NA
Complication of amputation stump	NA
Complication of internal orthopedic device	NA
Complications following abortion and ectopic and molar pregnancy	NA
Complications of anaesthesia during labour and delivery	NA
Complications of cardiac/vascular device, implant, and graft	NA
Complications of surgical and medical procedures	NA
Complications of the puerperium, not elsewhere classified	NA
Complications of transplants and reattached limbs	NA
Concussion	NA
Conduction disorders	NA
Conductive and sensorineural hearing loss	NA
Conductive hearing loss	NA
Congenital anomalies of female genital organs	NA
Congenital anomalies of great vessels	NA
Congenital anomalies of urinary system	NA
Congenital coagulation defects	NA
Congenital deficiency of other clotting factors (including factor VII)	NA
Congenital deficiency of other clotting factors (including factor vii)	NA
Congenital deformities of feet	NA
Congenital Hypothyroidism	NA
Congenital ichthyosis	NA
Congenital lactase deficiency	NA
Congenital malformations and deformations of the musculoskeletal system	NA
Congenital malformations of anterior segment of eye	NA
Congenital malformations of gallbladder, bile ducts and liver	NA
Congenital malformations of genital organs	NA
Congenital malformations of great arteries	NA
Congenital malformations of heart and great arteries	NA
Congenital malformations of ovaries, fallopian tubes and broad ligaments	NA
Congenital malformations of posterior segment of eye	NA
Congenital malformations of pulmonary and tricuspid valves	NA
Congenital malformations of the circulatory system	NA
Congenital malformations of the musculoskeletal system, not elsewhere classified	NA
Congenital malformations of the nervous system	NA
Congenital malformations of the urinary system	NA
Congenital malformations of trachea and bronchus	NA
Congestive heart failure; nonhypertensive	NA
conjugated estrogen	NA
Conjunctivitis	NA
Conjunctivitis, Allergic	NA
Connective Tissue Diseases	NA
Conotruncal defects	NA
Consecutive night shifts during mixed shift periods	Y
Constipation	NA
Continuous positive airway pressure	NA
Contracture of palmar fascia [Dupuytren's disease]	NA
Contracture of tendon (sheath)	NA
Cooked vegetable intake	Y
COPD related to chronic (opportunist) infections	NA
COPD-related respiratory insufficiency	NA
COPD/asthma related infections	NA
COPD/asthma related pneumonia or pneumonia derived septichaemia	NA
COPD/asthma/ILD related infections	NA
COPD/asthma/ILD related pneumonia or pneumonia derived septichaemia	NA
Coprococcus comes	NA
Cornea	NA
Cornea replaced by transplant	NA
Corneal degeneration	NA
Corneal Diseases	NA
Corneal Dystrophies, Hereditary	NA
Corneal dystrophy	NA
Corneal hysteresis (left)	NA
Corneal hysteresis (right)	NA
Corneal opacity and other disorders of cornea	NA
Corneal resistance factor (left)	NA
Corneal resistance factor (right)	NA
Corneal Ulcer	NA
Corns and callosities	NA
Coronary angiopasty	NA
Coronary Artery Bypass	NA
Coronary artery bypass grafting	NA
Coronary artery bypass grafting (no controls excluded)	NA
Coronary Artery Disease	NA
coronary artery disease	NA
Coronary atherosclerosis	NA
Coronary atherosclerosis (no controls excluded)	NA
Coronary Disease	NA
Coronary revascularization (ANGIO or CABG)	NA
Coronary revascularization (ANGIO or CABG) (no controls excluded)	NA
corticosteroid	NA
corticosteroid|aminoglycoside antibiotic|antibiotic	NA
corticosteroid|long-acting beta-2 agonist|LABA	NA
Cough	NA
Cough on most days	NA
Country of Birth (non-UK origin)	NA
Country of birth (UK/elsewhere)	NA
COVID-19	NA
Covid-19 confirmed case	NA
COVID-19 positive (controls include untested)	NA
COVID-19 positive (controls include untested), only patients from centers in England	NA
COVID-19 positive (controls only COVID-19 negative)	NA
Coxarthrosis	NA
Coxarthrosis, primary	NA
Coxarthrosis, primary, with hip surgery	NA
Coxsackie and Adenovirus Receptor-Like Membrane Protein	Y
Craniofacial Abnormalities	NA
Creatine kinase M-type:Creatine kinase B-type heterodimer measurement	Y
Creatinine	NA
Creatinine (enzymatic) in urine	NA
CREST Syndrome	NA
Crisp intake	Y
Crispbread intake	Y
Crohn Disease	NA
Crohn disease	NA
Crohn disease (strict definition, require KELA, min 2 HDR)	NA
crohn's disease	NA
Crohn's disease of small interstine	NA
Croissant intake	Y
Crumbed or deep-fried poultry intake	Y
Crumble intake	Y
Crushing or internal injury to organs	NA
Cucumber intake	Y
Current employment status	NA
Current eye infection	NA
Current smoker	NA
Current tobacco smoking	NA
Cushing syndrome	NA
Cutaneous abscess, furuncle and carbuncle	NA
Cutaneous lupus erythematosus	NA
CX3CL1 levels	Y
CXCL6 levels	Y
cyclizine	NA
Cylindrical power (left)	NA
Cylindrical power (right)	NA
Cyst of kidney	NA
Cystatin C	NA
Cystitis	NA
cystitis	NA
Cystitis and urethritis	NA
Cysts of the jaws	NA
Cytokine TWEAK	NA
Cytomegaloviral hepatitis	NA
D04 Carcinoma in situ of skin	NA
D05 Carcinoma in situ of breast	NA
D12 Benign neoplasm of colon, rectum, anus and anal canal	NA
D16 Benign neoplasm of bone and articular cartilage	NA
D17 Benign lipomatous neoplasm	NA
D22 Melanocytic naevi	NA
D25 Leiomyoma of uterus	NA
D30 Benign neoplasm of urinary organs	NA
D32 Benign neoplasm of meninges	NA
D33 Benign neoplasm of brain and other parts of central nervous system	NA
D36 Benign neoplasm of other and unspecified sites	NA
D38 Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs	NA
D41 Neoplasm of uncertain or unknown behaviour of urinary organs	NA
D47 Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue	NA
D48 Neoplasm of uncertain or unknown behaviour of other and unspecified sites	NA
D50 Iron deficiency anaemia	NA
D51 Vitamin B12 deficiency anaemia	NA
D52 Folate deficiency anaemia	NA
D64 Other anaemias	NA
D68 Other coagulation defects	NA
D69 Purpura and other haemorrhagic conditions	NA
D72 Other disorders of white blood cells	NA
D75 Other diseases of blood and blood-forming organs	NA
D86 Sarcoidosis	NA
D89 Other disorders involving the immune mechanism, not elsewhere classified	NA
Dark chocolate intake	Y
Day shifts worked	NA
Day-of-week questionnaire completed	NA
Day-of-week questionnaire completion requested	NA
Daytime dozing / sleeping (narcolepsy)	NA
dCTP pyrophosphatase 1 measurement	Y
Deaf mutism, not elsewhere classified	NA
Death record format	NA
Decaffeinated tea	NA
Decubitus ulcer and pressure area	NA
Deep bite	Y
Deep bite that required surgery	NA
deep vein thrombosis	NA
Defects in the complement system	NA
Defibrination syndrome	NA
Deficiency of other B group vitamins	NA
Deforming dorsopathies	NA
Degeneration of intervertebral disc	NA
Degeneration of macula and posterior pole	NA
Degeneration of macula and posterior pole of retina	NA
Degeneration of the brain due to alcohol	NA
Degenerative disease of the spinal cord	NA
Degenerative macular diseases	NA
Degenerative myopia	NA
Degenerative skin conditions and other dermatoses	NA
Delirium dementia and amnestic and other cognitive disorders	NA
Delirium due to conditions classified elsewhere	NA
Delirium, not induced by alcohol and other psychoactive substances	NA
Delivery methods	NA
delivery system	NA
Dementia	NA
Dementia due to Parkinson's disease (more control exclusions)	NA
Dementia in Alzheimer disease	NA
Dementia in other diseases classified elsewhere	NA
Dementia, including avohilmo	NA
Dementia, Vascular	NA
dementia,Alzheimer disease,cognitive impairment	NA
Dementias	NA
Demyelenating diseases of the central nervous system	NA
Dental caries	NA
Dentofacial anomalies [including malocclusion]	NA
Dentures	Y
Depressed affect	NA
Depression	NA
Depression medications	NA
Depression or dysthymia	NA
Depression possibly related to stressful or traumatic event	NA
Depressive Disorder, Major	NA
Dermatitis	NA
Dermatitis and eczema	NA
Dermatitis due to ingested food	NA
Dermatitis due to solar radiation	NA
Dermatitis due to substances taken internally	NA
Dermatitis Herpetiformis	NA
Dermatitis herpetiformis	NA
Dermatitis, Atopic	NA
Dermatitis, Contact	NA
Dermatographic urticaria	NA
Dermatologic disease	NA
Dermatopolymyositis (FG)	NA
Desogestrel	NA
Destinations on discharge from hospital (recoded)	NA
Detention categories	NA
Deviated nasal septum	NA
dexamethasone/acetic acid/neomycin	NA
dextropropoxyphene/paracetamol	NA
Diabetes diagnosed by doctor	NA
diabetes mellitus	NA
Diabetes mellitus	NA
Diabetes Mellitus	NA
Diabetes Mellitus, Type 1	NA
Diabetes Mellitus, Type 2	NA
Diabetes or abnormal glucose tolerance complicating pregnancy	NA
Diabetes or endocrine disease	NA
Diabetes related eye disease | eye problems/disorders	NA
Diabetes-related co-morbidities/complications (more controls excluded)	NA
Diabetes, Gestational	NA
Diabetes, insulin treatment (Kela reimbursement) (more control exclusions)	NA
Diabethic neuropathy	NA
Diabetic background retinopathy	NA
diabetic eye disease	NA
Diabetic hypoglycemia	NA
Diabetic ketoacidosis	NA
Diabetic Ketoacidosis	NA
Diabetic maculopathy	NA
Diabetic maculopathy (more controls excluded)	NA
Diabetic Nephropathies	NA
Diabetic nephropathy	NA
Diabetic nephropathy (more controls excluded)	NA
Diabetic Neuropathies	NA
Diabetic neuropathy	NA
Diabetic Retinopathy	NA
Diabetic retinopathy	NA
Diabetic retinopathy (more controls excluded)	NA
Diabetic retinopathy, strict definition	NA
Diacylglycerol_32:2_[M+H-H2O]1+ levels	Y
Diacylglycerol_33:1_[M+H-H2O]1+ levels	Y
Diacylglycerol_34:0_[M+H-H2O]1+ levels	Y
Diacylglycerol_34:1_[M+H-H2O]1+ levels	Y
Diacylglycerol_34:2_[M+H-H2O]1+ levels	Y
Diacylglycerol_34:2_[M+NH4]1+ levels	Y
Diacylglycerol_36:1_[M+H-H2O]1+ levels	Y
Diacylglycerol_36:2_[M+H-H2O]1+ levels	Y
Diacylglycerol_36:2_[M+NH4]1+ levels	Y
Diacylglycerol_36:3_[M+H-H2O]1+ levels	Y
Diacylglycerol_36:3_[M+NH4]1+ levels	Y
Diacylglycerol_36:4_[M+H-H2O]1+ levels	Y
Diacylglycerol_36:5_[M+H-H2O]1+ levels	Y
Diacylglycerol_39:2_[M+NH4]1+ levels	NA
Diacylglycerol_42:7_[M+H-H2O]1+ levels	Y
Diacylglycerol_44:6_[M+H-H2O]1+ levels	Y
Diacylglycerol_44:7_[M+H-H2O]1+ levels	Y
Diagnostic Self Evaluation	NA
Dialysis	NA
Diaphragmatic hernia	NA
Diarrhea	NA
Diarrhoea and gastroenteritis of presumed infectious origin	NA
Diastasis of muscle	NA
Diastolic blood pressure, automated reading	NA
Diastolic blood pressure, automated reading, adjusted by medication	NA
Diastolic blood pressure, combined automated + manual reading	NA
Diastolic blood pressure, combined automated + manual reading, adjusted by medication	NA
Diastolic blood pressure, manual reading	NA
Diastolic blood pressure, manual reading, adjusted by medication	NA
diazepam	NA
diclofenac	NA
Did your sleep change?	NA
diet measurement	Y
Difficulty not smoking for 1 day	NA
Diffuse diseases of connective tissue	NA
Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)	NA
Digestive congenital anomalies	NA
digestive system disease	NA
Digestive System Diseases	NA
digoxin	NA
dihydrocodeine	NA
dihydrocodeine/paracetamol	NA
Dihydropteridine Reductase	Y
Diplopia and disorders of binocular vision	NA
Direct bilirubin	NA
Diseases of arteries, arterioles and capillaries (FINNGEN)	NA
Diseases of esophagus	NA
Diseases of external ear	NA
Diseases of hair and hair follicles	NA
Diseases of male genital organs	NA
Diseases of middle ear and mastoid	NA
Diseases of oesophagus, stomach and duodenum	NA
Diseases of pancreas	NA
Diseases of sebaceous glands	NA
Diseases of the ear and mastoid process	NA
Diseases of the eye and adnexa	NA
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	NA
Diseases of the salivary glands	NA
Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	NA
Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified	NA
Diseases of white blood cells	NA
Dislocation	NA
Disorder of lipoprotein metabolism, unspecified	NA
Disorder of skin and subcutaneous tissue NOS	NA
Disorders of adrenal glands	NA
Disorders of bilirubin excretion	NA
Disorders of calcium/phosphorus metabolism	NA
Disorders of carbohydrate transport and metabolism	NA
Disorders of choroid and retina	NA
Disorders of conjunctiva	NA
Disorders of esophageal motility	NA
Disorders of eyelid, lacrimal system and orbit	NA
Disorders of function of stomach	NA
Disorders of iris and ciliary body	NA
Disorders of iron metabolism	NA
Disorders of lacrimal system	NA
Disorders of lipoid metabolism	NA
Disorders of lipoprotein metabolism and other lipidaemias	NA
Disorders of magnesium metabolism	NA
Disorders of menstruation and other abnormal bleeding from female genital tract	NA
Disorders of mineral metabolism	NA
Disorders of muscle, ligament, and fascia	NA
Disorders of muscles	NA
Disorders of myoneural junction and muscle in diseases classified elsewhere	NA
Disorders of ocular muscles, binocular movement, accommodation and refraction	NA
Disorders of oesophagus in diseases classified elsewhere	NA
Disorders of optic nerve and visual pathways	NA
Disorders of orbit	NA
Disorders of parathyroid gland	NA
Disorders of parathyroid gland, other and/or unspecified	NA
Disorders of penis	NA
Disorders of pituitary gland, other and/or unspecified	NA
Disorders of plasma protein metabolism	NA
Disorders of plasma-protein metabolism, not elsewhere classified	NA
Disorders of porphyrin and bilirubin metabolism	NA
Disorders of protein plasma/amino-acid transport and metabolism	NA
Disorders of puberty	NA
Disorders of sclera, cornea, iris and ciliary body	NA
Disorders of skin appendages	NA
Disorders of sphingolipid metabolism and other lipid storage disorders	NA
Disorders of synovium and tendon	NA
Disorders of the orbit	NA
Disorders of the thyroid gland	NA
Disorders of tooth development	NA
Disorders of uterus, NEC	NA
Disorders of vestibular function (Vertigo)	NA
Disorders of vitreous body	NA
Disorders related to short gestation and low birth weight, not elsewhere classified	NA
Disorders resulting from impaired renal function	NA
Dissection of aorta	NA
Dissociative [conversion] disorders	NA
Distance between home and job workplace	NA
Distress caused by unusual or psychotic experiences	NA
Disturbances in tooth eruption	NA
Diverticular Diseases	NA
Diverticulitis	NA
diverticulitis	NA
Diverticulosis	NA
Diverticulosis and diverticulitis	NA
Diverticulum	NA
Dizziness	NA
Dizziness and giddiness (Light-headedness and vertigo)	NA
Doctor diagnosed asthma	NA
Doctor diagnosed chronic bronchitis	NA
Doctor diagnosed COPD (chronic obstructive pulmonary disease)	NA
Doctor diagnosed hayfever or allergic rhinitis	NA
Doctor diagnosed idiopathic pulmonary fibrosis	NA
Doctor diagnosed sarcoidosis	NA
Doctor diagnosed tuberculosis	NA
docusate	NA
donepezil	NA
dopamine pro-drug / decarboxylase inhibitor|Parkinson's	NA
dorzolamide	NA
Double crust pastry intake	Y
Dovonex 50micrograms/g cream | treatment/medication code	NA
doxazosin	NA
DPP-4 inhibitor|diabetes	NA
Dried fruit added to cereal	Y
Dried fruit intake	Y
Drinking	NA
Drinking water intake	Y
Drive faster than motorway speed limit	NA
drug allergy	NA
Drug Resistance	NA
drug use measurement	NA
Drug-induced cataract	NA
Drug-induced hypoglycaemia without coma	NA
Drug-induced myopathy	NA
Drug-induced neutropenia	NA
Drug-induced systemic lupus erythematosus	NA
Dry age-related macular degeneration (includes geographic atrophy)	NA
duloxetine	NA
Duodenal Ulcer	NA
Duodenal ulcer	NA
duodenal ulcer	NA
Duodenitis	NA
Dupuytren Contracture	NA
dupuytren contracture	NA
Duration of fitness test	NA
Duration of heavy DIY	NA
Duration of moderate activity	NA
Duration of questionnaire	Y
Duration of vigorous activity	NA
Duration of walks	Y
Duration screen displayed	Y
Duration to first press of snap-button in each round	Y
Duration walking for pleasure	Y
dutasteride	NA
DVT of lower extremities	NA
DVT of lower extremities (no controls excluded)	NA
DVT of lower extremities and pulmonary embolism	NA
DXA measuring method	NA
Dyschromia and Vitiligo	NA
Dyslipidemias	NA
Dystonia	NA
Dysuria	NA
E-Selectin	Y
E. coli	NA
E03 Other hypothyroidism	NA
E04 Other non-toxic goitre	NA
E05 Thyrotoxicosis [hyperthyroidism]	NA
E10 Insulin-dependent diabetes mellitus	NA
E11 Non-insulin-dependent diabetes mellitus	NA
E14 Unspecified diabetes mellitus	NA
E16 Other disorders of pancreatic internal secretion	NA
E21 Hyperparathyroidism and other disorders of parathyroid gland	NA
E27 Other disorders of adrenal gland	NA
E29 Testicular dysfunction	NA
E53 Deficiency of other B group vitamins	NA
E66 Obesity	NA
E78 Disorders of lipoprotein metabolism and other lipidaemias	NA
E80 Disorders of porphyrin and bilirubin metabolism	NA
E83 Disorders of mineral metabolism	NA
E85 Amyloidosis	NA
E88 Other metabolic disorders	NA
E89 Postprocedural endocrine and metabolic disorders, not elsewhere classified	NA
Ear Diseases	NA
Early lumbar disc prolapse, operated	NA
Early or threatened labor; hemorrhage in early pregnancy	NA
Ease of skin tanning	Y
Eating disorder (more control exclusions)	NA
Ecg, heart rate	NA
ECG, heart rate	NA
ECG, load	NA
ECG, number of stages in a phase	NA
ECG/bike method for fitness test	NA
Ectopic pregnancy	NA
Ectropion of eyelid	NA
Eczema	NA
Eczema or dermatitis	NA
Edible Grain	Y
Effects of heat, cold and air pressure	NA
Effects of other external causes	NA
Eggs in sandwiches intake	Y
Ehlers-Danlos syndrome	NA
Electrolyte imbalance	NA
Elevated blood pressure reading without diagnosis of hypertension	NA
Elevated white blood cell count	NA
Embedded and impacted teeth	NA
Embolic stroke	NA
Emergency coronary revascularization (for ACS) (no controls excluded)	NA
emollient	Y
Emotional disorders and disorders of social functioning with onset specific to childhood	NA
Emotional disorders starting during childhood or adolescence (more control exclusions)	NA
Emotionally unstable personality disorder	NA
Emotions	Y
Emphysema	NA
emphysema	NA
enalapril	NA
Endocarditis	NA
Endocrine System Diseases	NA
Endometrial hyperplasia	NA
Endometrial Neoplasms	NA
Endometriosis	NA
Endometriosis ASRM stages 3,4	NA
Endometriosis diagnosis and infertility diagnosis occurring together	NA
Endometriosis of intestine	NA
Endometriosis of rectovaginal septum and vagina	NA
Endothelial cell-specific molecule 1 levels	Y
Enduring personality changes	NA
Englyst dietary fibre	Y
Enteritis due to Yersinia enterocolitica	NA
Enterobiasis	NA
Enterocolitis due to Clostridium difficile	NA
Enthesopathies of lower limb, excluding foot	NA
Enthesopathy	NA
Entropion and trichiasis of eyelid	NA
Eosinophilia	NA
Eosinophill count	NA
Eosinophill percentage	NA
Epidermal Cyst	NA
Epidermal Growth Factor	Y
Epilepsy	NA
Epilepsy, recurrent seizures, convulsions	NA
Epiphora	NA
Epiretinal Membrane	NA
Episcleritis	NA
Episodal and paroxysmal disorders	NA
Epistaxis or throat hemorrhage	NA
Erectile Dysfunction	NA
Erectile dysfunction [ED]	NA
Erosion and ectropion of cervix uteri	NA
Erosion of teeth	NA
Erysipelas	NA
Erythema nodosum	NA
Erythematous conditions	NA
Erythrocyte Count	NA
Erythrocyte Indices	NA
erythromycin	NA
escitalopram	NA
Esophageal and Gastric Varices	NA
Esophageal bleeding (varices/hemorrhage)	NA
Esophageal Diseases	NA
Esophagitis, GERD and related diseases	NA
Espresso intake	Y
Essential (haemorrhagic) thrombocythaemia	NA
Essential hypertension	NA
Essential Hypertension	NA
essential hypertension	NA
essential tremor	NA
Essential tremor	NA
Estimated glomerular filtration rate, cystain C	NA
Estimated glomerular filtration rate, serum creatinine	NA
Estimated glomerular filtration rate, serum creatinine + cystain C	NA
estriol	NA
estrogen/medroxyprogesterone	NA
ethinylestradiol/levonorgestrel	NA
Ethnic background	NA
etoricoxib	NA
Eukaryotic translation initiation factor 4E type 2 measurement	Y
Eustachian salpingitis and obstruction	NA
Eustachian tube disorders	NA
Ever addicted to a behaviour or miscellanous	NA
Ever addicted to alcohol	NA
Ever been injured or injured someone else through drinking alcohol	NA
Ever contemplated self-harm	NA
Ever depressed for a whole week	NA
Ever had bowel cancer screening	NA
Ever had cataract surgery	NA
Ever had eye surgery	NA
Ever had hysterectomy (womb removed)	NA
Ever had known person concerned about, or recommend reduction of, alcohol consumption	NA
Ever had period extreme irritability	NA
Ever had prolonged feelings of sadness or depression	NA
Ever had prostate specific antigen (PSA) test	NA
Ever had same-sex intercourse	NA
Ever heard an un-real voice	NA
Ever highly irritable/argumentative for 2 days	NA
Ever manic/hyper for 2 days	NA
Ever physically dependent on alcohol	NA
Ever prescribed a medication for unusual or psychotic experiences	NA
Ever seen an un-real vision	NA
Ever smoked	NA
Ever smoker	NA
Ever sought or received professional help for mental distress	NA
Ever stopped smoking for 6+ months	NA
Ever suffered mental distress preventing usual activities	NA
Ever taken cannabis	Y
Ever talked to a health professional about unusual or psychotic experiences	NA
Ever thought that life not worth living	Y
Ever tried to stop smoking	NA
